"row","col","coeff"
1,3,1
1,53,1
2,17,1
3,6,1
4,3,1
4,19,1
4,58,1
5,2,1
5,7,1
6,71,1
7,4,1
7,6,1
7,71,1
8,26,1
9,12,1
9,30,1
10,8,1
10,9,1
11,14,1
11,68,1
12,3,1
12,30,1
12,69,1
13,12,1
13,16,1
14,44,1
15,12,1
15,21,1
16,22,1
17,50,1
18,3,1
19,18,1
20,14,1
20,41,1
20,53,1
21,42,1
22,43,1
23,26,1
23,68,1
23,71,1
24,25,1
24,33,1
25,26,1
25,28,1
25,34,1
27,24,1
27,30,1
28,31,1
28,79,1
29,8,1
30,69,1
31,10,1
31,13,1
31,65,1
32,77,1
33,42,1
34,71,1
35,11,1
35,13,1
35,17,1
35,20,1
36,18,1
36,19,1
36,21,1
36,60,1
37,17,1
37,19,1
37,22,1
37,61,1
38,6,1
38,47,1
38,50,1
38,74,1
39,6,1
39,51,1
40,34,1
40,37,1
40,39,1
41,32,1
41,38,1
41,39,1
42,39,1
43,34,1
44,2,1
44,29,1
45,27,1
45,42,1
45,60,1
46,31,1
46,43,1
46,61,1
47,5,1
47,48,1
48,39,1
48,57,1
49,40,1
49,47,1
49,48,1
49,58,1
50,34,1
51,18,1
52,19,1
52,43,1
52,50,1
52,51,1
52,64,1
53,41,1
54,42,1
55,43,1
55,54,1
56,2,1
56,17,1
56,77,1
57,18,1
58,19,1
58,57,1
59,11,1
59,56,1
60,12,1
60,57,1
60,69,1
61,13,1
61,58,1
61,70,1
62,38,1
62,44,1
63,42,1
63,60,1
64,40,1
64,43,1
64,61,1
65,29,1
65,48,1
65,56,1
65,59,1
66,57,1
66,67,1
66,69,1
67,58,1
67,65,1
67,70,1
68,13,1
68,29,1
69,54,1
70,31,1
70,69,1
71,77,1
72,71,1
72,75,1
73,71,1
73,76,1
74,14,1
74,71,1
75,57,1
76,49,1
76,69,1
77,26,1
78,27,1
78,72,1
79,73,1
79,77,1
