"row","col","coeff"
1,3,1
5,2,1
6,3,1
7,4,1
8,26,1
9,12,1
10,9,1
11,59,1
11,68,1
12,13,1
13,31,1
14,44,1
15,21,1
16,22,1
17,56,1
20,41,1
23,26,1
24,27,1
25,28,1
29,8,1
30,27,1
31,28,1
33,42,1
34,43,1
35,17,1
36,21,1
37,19,1
37,22,1
38,74,1
39,42,1
40,39,1
41,32,1
45,42,1
46,43,1
47,5,1
48,39,1
49,40,1
49,48,1
50,17,1
51,18,1
52,19,1
53,41,1
54,42,1
55,43,1
56,2,1
59,56,1
60,57,1
61,58,1
62,44,1
63,42,1
63,60,1
64,43,1
64,61,1
65,29,1
66,67,1
67,65,1
68,29,1
69,30,1
70,31,1
71,77,1
75,72,1
76,73,1
77,26,1
78,72,1
79,73,1
