"row","col","coeff"
1,2,0.420434851671577
1,4,0.0456033880162153
1,10,-0.0478657883005241
2,1,0.426528654705034
2,8,0.0727443246320228
2,9,-0.0149550616283798
3,1,0.0116575556010046
3,4,-0.392666858021576
4,1,0.111077552447236
4,3,-0.393389161588843
5,6,-0.506139802768606
5,10,-0.0128039004010885
6,7,0.0122452990632163
6,8,0.26061075010037
6,9,0.696741363053472
7,6,0.787146167938276
7,8,0.143610813073302
8,2,0.0325635452089464
8,6,0.157280328420902
8,7,0.720577721301362
9,6,0.884189871418512
9,10,0.0641121568937533
10,1,-0.0531171669106496
10,9,0.699021585240224
