"row","col","coeff"
1,1,1
1,3,1
1,4,1
1,6,1
1,7,1
1,9,1
1,12,1
1,15,1
1,16,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,24,1
1,27,1
1,33,1
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,42,1
1,43,1
1,45,1
1,46,1
1,47,1
1,48,1
1,49,1
1,51,1
1,52,1
1,54,1
1,55,1
1,57,1
1,58,1
1,60,1
1,63,1
1,64,1
1,69,1
1,75,1
1,76,1
2,2,1
2,4,1
2,5,1
2,7,1
2,9,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,21,1
2,22,1
2,30,1
2,31,1
2,35,1
2,36,1
2,37,1
2,38,1
2,44,1
2,45,1
2,46,1
2,47,1
2,49,1
2,50,1
2,51,1
2,52,1
2,56,1
2,57,1
2,58,1
2,59,1
2,60,1
2,61,1
2,62,1
2,64,1
2,65,1
2,66,1
2,67,1
2,69,1
2,70,1
3,1,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,9,1
3,12,1
3,15,1
3,16,1
3,18,1
3,19,1
3,21,1
3,22,1
3,24,1
3,27,1
3,30,1
3,33,1
3,36,1
3,37,1
3,38,1
3,39,1
3,40,1
3,42,1
3,45,1
3,46,1
3,47,1
3,48,1
3,49,1
3,51,1
3,52,1
3,54,1
3,55,1
3,57,1
3,58,1
3,60,1
3,61,1
3,63,1
3,64,1
3,66,1
3,69,1
3,75,1
3,76,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,1
4,9,1
4,12,1
4,13,1
4,15,1
4,16,1
4,17,1
4,18,1
4,19,1
4,21,1
4,22,1
4,27,1
4,30,1
4,33,1
4,35,1
4,36,1
4,37,1
4,38,1
4,39,1
4,40,1
4,42,1
4,43,1
4,45,1
4,46,1
4,47,1
4,48,1
4,49,1
4,50,1
4,51,1
4,52,1
4,54,1
4,55,1
4,56,1
4,57,1
4,58,1
4,60,1
4,61,1
4,63,1
4,64,1
4,66,1
4,67,1
4,69,1
4,75,1
4,76,1
5,2,1
5,3,1
5,4,1
5,5,1
5,7,1
5,13,1
5,14,1
5,15,1
5,16,1
5,17,1
5,18,1
5,19,1
5,22,1
5,35,1
5,36,1
5,37,1
5,38,1
5,40,1
5,44,1
5,45,1
5,46,1
5,47,1
5,49,1
5,50,1
5,51,1
5,52,1
5,56,1
5,57,1
5,58,1
5,59,1
5,60,1
5,61,1
5,62,1
5,64,1
5,66,1
5,67,1
5,74,1
6,1,1
6,3,1
6,4,1
6,6,1
6,7,1
6,12,1
6,15,1
6,16,1
6,18,1
6,19,1
6,20,1
6,21,1
6,22,1
6,24,1
6,27,1
6,33,1
6,34,1
6,36,1
6,37,1
6,38,1
6,39,1
6,40,1
6,42,1
6,43,1
6,45,1
6,46,1
6,47,1
6,48,1
6,49,1
6,50,1
6,51,1
6,52,1
6,54,1
6,55,1
6,57,1
6,58,1
6,60,1
6,61,1
6,62,1
6,63,1
6,64,1
6,66,1
6,72,1
6,75,1
6,76,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
7,12,1
7,13,1
7,15,1
7,16,1
7,18,1
7,19,1
7,21,1
7,22,1
7,24,1
7,33,1
7,34,1
7,36,1
7,37,1
7,38,1
7,39,1
7,40,1
7,42,1
7,43,1
7,45,1
7,46,1
7,47,1
7,48,1
7,49,1
7,50,1
7,51,1
7,52,1
7,54,1
7,55,1
7,57,1
7,58,1
7,60,1
7,61,1
7,62,1
7,63,1
7,64,1
7,66,1
7,67,1
7,72,1
7,75,1
7,76,1
8,8,1
8,10,1
8,11,1
8,14,1
8,20,1
8,23,1
8,25,1
8,26,1
8,28,1
8,29,1
8,32,1
8,41,1
8,44,1
8,53,1
8,65,1
8,68,1
8,77,1
9,1,1
9,2,1
9,3,1
9,4,1
9,9,1
9,10,1
9,11,1
9,12,1
9,13,1
9,15,1
9,16,1
9,17,1
9,21,1
9,22,1
9,24,1
9,25,1
9,27,1
9,28,1
9,30,1
9,31,1
9,33,1
9,35,1
9,36,1
9,37,1
9,44,1
9,45,1
9,46,1
9,50,1
9,56,1
9,57,1
9,58,1
9,59,1
9,60,1
9,61,1
9,63,1
9,64,1
9,66,1
9,67,1
9,68,1
9,69,1
9,70,1
10,8,1
10,9,1
10,10,1
10,11,1
10,12,1
10,13,1
10,14,1
10,16,1
10,20,1
10,22,1
10,24,1
10,25,1
10,27,1
10,28,1
10,29,1
10,30,1
10,31,1
10,34,1
10,35,1
10,37,1
10,44,1
10,46,1
10,50,1
10,59,1
10,61,1
10,62,1
10,65,1
10,67,1
10,68,1
10,69,1
10,70,1
11,2,1
11,8,1
11,9,1
11,10,1
11,11,1
11,12,1
11,13,1
11,14,1
11,20,1
11,29,1
11,30,1
11,31,1
11,35,1
11,44,1
11,50,1
11,56,1
11,59,1
11,61,1
11,62,1
11,65,1
11,66,1
11,67,1
11,68,1
11,70,1
12,1,1
12,2,1
12,3,1
12,4,1
12,6,1
12,7,1
12,9,1
12,10,1
12,11,1
12,12,1
12,13,1
12,15,1
12,16,1
12,17,1
12,18,1
12,19,1
12,21,1
12,22,1
12,24,1
12,25,1
12,27,1
12,28,1
12,30,1
12,31,1
12,33,1
12,35,1
12,36,1
12,37,1
12,39,1
12,44,1
12,45,1
12,46,1
12,50,1
12,51,1
12,52,1
12,54,1
12,56,1
12,57,1
12,58,1
12,59,1
12,60,1
12,61,1
12,63,1
12,64,1
12,66,1
12,67,1
12,68,1
12,69,1
12,70,1
13,2,1
13,4,1
13,5,1
13,7,1
13,9,1
13,10,1
13,11,1
13,12,1
13,13,1
13,14,1
13,15,1
13,16,1
13,17,1
13,19,1
13,22,1
13,24,1
13,25,1
13,27,1
13,28,1
13,30,1
13,31,1
13,35,1
13,36,1
13,37,1
13,44,1
13,45,1
13,46,1
13,50,1
13,52,1
13,56,1
13,57,1
13,58,1
13,59,1
13,60,1
13,61,1
13,62,1
13,64,1
13,65,1
13,66,1
13,67,1
13,68,1
13,69,1
13,70,1
14,2,1
14,5,1
14,8,1
14,10,1
14,11,1
14,13,1
14,14,1
14,15,1
14,16,1
14,17,1
14,20,1
14,21,1
14,22,1
14,23,1
14,24,1
14,25,1
14,26,1
14,28,1
14,29,1
14,31,1
14,32,1
14,33,1
14,34,1
14,35,1
14,37,1
14,38,1
14,40,1
14,41,1
14,42,1
14,43,1
14,44,1
14,46,1
14,47,1
14,50,1
14,52,1
14,53,1
14,55,1
14,62,1
14,63,1
14,64,1
14,68,1
14,70,1
14,71,1
14,72,1
14,73,1
14,74,1
14,76,1
14,78,1
14,79,1
15,1,1
15,2,1
15,3,1
15,4,1
15,5,1
15,6,1
15,7,1
15,9,1
15,12,1
15,13,1
15,14,1
15,15,1
15,16,1
15,17,1
15,18,1
15,19,1
15,20,1
15,21,1
15,22,1
15,24,1
15,25,1
15,27,1
15,30,1
15,33,1
15,34,1
15,35,1
15,36,1
15,37,1
15,38,1
15,39,1
15,40,1
15,42,1
15,43,1
15,44,1
15,45,1
15,46,1
15,47,1
15,48,1
15,49,1
15,50,1
15,51,1
15,52,1
15,54,1
15,55,1
15,57,1
15,58,1
15,60,1
15,61,1
15,62,1
15,63,1
15,64,1
15,66,1
15,69,1
15,70,1
15,72,1
15,74,1
15,75,1
15,76,1
15,78,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,9,1
16,10,1
16,12,1
16,13,1
16,14,1
16,15,1
16,16,1
16,17,1
16,18,1
16,19,1
16,20,1
16,21,1
16,22,1
16,24,1
16,25,1
16,27,1
16,28,1
16,30,1
16,31,1
16,33,1
16,34,1
16,35,1
16,36,1
16,37,1
16,38,1
16,39,1
16,40,1
16,41,1
16,42,1
16,43,1
16,44,1
16,45,1
16,46,1
16,47,1
16,48,1
16,49,1
16,50,1
16,51,1
16,52,1
16,53,1
16,54,1
16,55,1
16,58,1
16,60,1
16,61,1
16,62,1
16,63,1
16,64,1
16,67,1
16,69,1
16,70,1
16,72,1
16,73,1
16,74,1
16,75,1
16,76,1
16,78,1
17,2,1
17,4,1
17,5,1
17,9,1
17,12,1
17,13,1
17,14,1
17,15,1
17,16,1
17,17,1
17,18,1
17,19,1
17,21,1
17,22,1
17,30,1
17,35,1
17,36,1
17,37,1
17,38,1
17,44,1
17,45,1
17,46,1
17,47,1
17,50,1
17,51,1
17,52,1
17,56,1
17,57,1
17,58,1
17,59,1
17,60,1
17,61,1
17,62,1
17,63,1
17,64,1
17,65,1
17,66,1
17,67,1
17,69,1
17,70,1
18,1,1
18,2,1
18,3,1
18,4,1
18,5,1
18,6,1
18,7,1
18,12,1
18,15,1
18,16,1
18,17,1
18,18,1
18,19,1
18,21,1
18,22,1
18,33,1
18,35,1
18,36,1
18,37,1
18,38,1
18,39,1
18,40,1
18,42,1
18,43,1
18,45,1
18,46,1
18,47,1
18,48,1
18,49,1
18,50,1
18,51,1
18,52,1
18,54,1
18,55,1
18,57,1
18,58,1
18,60,1
18,61,1
18,63,1
18,64,1
18,66,1
18,69,1
18,75,1
18,76,1
19,1,1
19,2,1
19,3,1
19,4,1
19,5,1
19,6,1
19,7,1
19,12,1
19,13,1
19,15,1
19,16,1
19,17,1
19,18,1
19,19,1
19,21,1
19,22,1
19,30,1
19,33,1
19,34,1
19,35,1
19,36,1
19,37,1
19,38,1
19,39,1
19,40,1
19,42,1
19,43,1
