계약연월,매매가격지수,시군구,매매가격,전세가격지수,소비자물가지수-총지수,PIR,PIR_소득,PIR_처분가능소득,소득,처분가능소득,구별 인구이동수,부동산 정책 시행,지하철,백화점,아파트브랜드,혼인건수,미분양주택현황(호),스타벅스 수,dfg,도시지역면적 (㎡),주거지역면적 (㎡),상업지역면적 (㎡),공업지역면적 (㎡),녹지지역면적 (㎡)
200701,81.4,강남구,76459.04296,60.8,97.069,23.2,19.08501204,23.24172387,409.3,336.1,169,1,22,4,3,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200702,81.2,강남구,71278.27824,61,100.36,22.4,18.28688159,22.41676243,427.1,348.4,389,0,22,4,3,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200703,81.1,강남구,78699.38851,61.1,103.57,23.4,18.97482533,23.43586351,453.7,367.4,-56,0,22,4,5,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200704,80.4,강남구,84463.58498,60.9,76.233,25.3,21.02045911,25.34742185,275.8,228.7,177,0,22,4,5,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200705,79.8,강남구,82826.13679,60.5,79.861,26.4,21.76430916,26.38404461,296.6,244.6,-98,0,22,4,5,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200706,79.7,강남구,81954.05153,60.3,87.355,28.9,23.63761749,28.85848845,347.8,284.9,116,0,22,4,5,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200707,79.8,강남구,82633.81128,60.2,93.842,25.7,20.76527702,25.66593422,385.8,312.1,181,0,22,4,5,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200708,79.8,강남구,81574.08052,60.2,97.429,23.5,19.15143595,23.54142441,404.1,328.7,463,0,22,4,5,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200709,79.7,강남구,81032.92381,60,100.71,22.4,18.19713272,22.43465573,441.6,358.2,8,0,22,4, ,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200710,79.6,강남구,78166.49479,59.7,104.15,23.5,18.55073861,23.45259724,476.3,376.7,17,0,22,4,5,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200711,79.7,강남구,85760.13832,59.6,77.362,27.5,22.70156196,27.48931283,271.7,224.4,109,0,22,4,5,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200712,79.6,강남구,78802.56779,59.6,81.656,25.9,21.28343846,25.88961006,313.4,257.7,-2,0,22,4,5,3856,-,,강남구200701,39550000,20915063,2250000,0,16384937
200801,79.7,강남구,87467.10973,59.8,88.214,30.7,24.9772396,30.70257389,347.2,282.5,353,0,22,4,5,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200802,79.7,강남구,86418.9687,60,95.086,28.2,22.90183591,28.22959702,371.3,301.3,329,0,22,4,5,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200803,80,강남구,92917.59078,60.2,98.881,23.5,19.22452812,23.51387092,416.3,340.4,-33,0,22,4,5,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200804,80.3,강남구,87729.35597,60.4,101.72,22.9,18.58754279,22.86163445,455.5,370.4,-16,0,22,4,5,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200805,80.4,강남구,86002.27882,60.5,104.54,25.9,20.51546949,25.90185419,453.1,358.8,-34,0,22,4,5,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200806,80.1,강남구,83534.08026,60.6,78.065,22.3,18.48383657,22.32948167,281.6,233.1,34,0,22,4,6,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200807,79.8,강남구,80633.57078,60.6,82.593,25.7,21.24155507,25.72145558,321.4,265.5,-144,0,22,4,6,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200808,79.6,강남구,88451.59081,60.6,89.515,30.1,24.72079583,30.14182002,345,282.9,-21,0,22,4,6,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200809,79.3,강남구,87961.59676,60.5,95.59,26,21.25636307,25.95734489,388.3,318,-456,0,22,4,6,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200810,78.5,강남구,84616.78125,60.1,98.727,21.6,17.47690376,21.59814153,440.3,356.3,-511,0,22,4,6,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200811,76.8,강남구,76613.90331,59.5,103.07,23,18.69484316,23.03730436,444.5,360.7,-501,1,22,4,6,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200812,73.8,강남구,79751.50319,57.1,104.91,27.3,21.67861272,27.3407627,460.6,365.2,-309,0,22,4,8,3641,19,,강남구200801,39550000,20915063,2250000,0,16384937
200901,72.8,강남구,85378.56709,55.7,78.846,26.9,22.26682213,26.90309891,283.8,234.9,245,0,22,4,8,3500,19,,강남구200901,39550000,20915063,2250000,0,16384937
200902,73.4,강남구,85332.22319,55.7,85.013,29.6,24.31681303,29.64639408,325.6,267,732,0,22,4,8,3500,19,,강남구200901,39550000,20915063,2250000,0,16384937
200903,73.4,강남구,89109.76268,56,91.227,30.7,25.10739586,30.71360127,353.6,289.1,36,0,22,4,8,3500,19,,강남구200901,39550000,20915063,2250000,0,16384937
200904,74.1,강남구,83761.8761,56.3,96.907,25.9,21.11440496,25.86023421,394.2,321.9,11,0,22,4,8,3500,19,,강남구200901,39550000,20915063,2250000,0,16384937
200905,74.3,강남구,89211.43892,56.8,99.82,21.9,17.7205633,21.90143204,438.8,355,299,0,22,4,8,3500,19,,강남구200901,39550000,20915063,2250000,0,16384937
200906,75.1,강남구,91240.42195,57.6,103.78,23.8,19.53865533,23.79177964,431.2,354.1,264,0,22,4,8,3500,18,,강남구200901,39550000,20915063,2250000,0,16384937
200907,76.3,강남구,94477.72404,58.3,75.775,27.1,21.24812814,27.13209915,470.4,368.4,232,1,23,4,8,3500,14,,강남구200901,39550000,20915063,2250000,0,16384937
200908,77,강남구,91530.88927,58.9,79.704,26,21.54886772,26.02950479,292,241.7,75,0,23,4,8,3500,14,,강남구200901,39550000,20915063,2250000,0,16384937
200909,78.4,강남구,90198.41761,59.7,86.028,26.7,21.97139776,26.66926797,343,282.6,255,1,23,4,8,3500,14,,강남구200901,39550000,20915063,2250000,0,16384937
200910,78.6,강남구,91125.71712,60.2,92.94,28.4,23.08368272,28.35522129,354.5,288.6,33,0,23,4,8,3500,14,,강남구200901,39550000,20915063,2250000,0,16384937
200911,78.4,강남구,87326.32645,61,97.114,23.8,19.25085657,23.80098789,414.2,335,-349,0,23,4,8,3500,14,,강남구200901,39550000,20915063,2250000,0,16384937
200912,78.3,강남구,90002.27258,61.5,100.18,21.2,17.19557951,21.17442782,451.7,366.8,-252,0,23,4,8,3500,14,,강남구200901,39550000,20915063,2250000,0,16384937
201001,78.5,강남구,93653.11719,62.6,104.31,23.9,19.46072898,23.91128773,434.7,353.8,201,0,23,4,8,3636,14,,강남구201001,39550000,22016574,2320955,0,15212471
201002,78.8,강남구,93837.90007,63.5,76.887,27.3,21.4013157,27.32770697,470.4,368.4,330,0,23,4,8,3636,14,,강남구201001,39550000,22016574,2320955,0,15212471
201003,78.8,강남구,91196.19678,63.8,80.251,23.5,19.47657085,23.49652244,303.3,251.4,-441,0,23,4,8,3636,14,,강남구201001,39550000,22016574,2320955,0,15212471
201004,78.8,강남구,95613.13217,64.3,87.589,29.5,24.30781042,29.45824606,328.1,270.7,-361,0,23,4,8,3636,60,,강남구201001,39550000,22016574,2320955,0,15212471
201005,78.3,강남구,91393.80084,64.6,94.382,26.2,21.45096515,26.17989151,362,296.6,-209,0,23,4,8,3636,45,,강남구201001,39550000,22016574,2320955,0,15212471
201006,77.8,강남구,85895.10438,64.9,98.114,21.8,17.61777547,21.78528626,419.3,339.1,-139,0,23,4,8,3636,21,,강남구201001,39550000,22016574,2320955,0,15212471
201007,77.6,강남구,88438.01178,65.1,100.92,21.4,17.47842474,21.42572494,427.1,348.4,-144,0,23,4,8,3636,21,,강남구201001,39550000,22016574,2320955,0,15212471
201008,77.2,강남구,79865.75456,65.3,105.7,23.6,19.01513423,23.62538878,444.5,357.8,-147,1,23,4,8,3636,21,,강남구201001,39550000,22016574,2320955,0,15212471
201009,77,강남구,82638.70295,65.8,78.065,24.1,19.95069441,24.0574511,275.8,228.7,-322,0,23,4,8,3636,21,,강남구201001,39550000,22016574,2320955,0,15212471
201010,77,강남구,88682.34156,66.3,81.89,24.8,20.4425625,24.75530279,303.3,250.5,-184,0,23,4,8,3636,21,,강남구201001,39550000,22016574,2320955,0,15212471
201011,76.9,강남구,89072.73986,67,88.135,27.4,22.47571568,27.39258019,337.1,276.6,-380,0,23,4,8,3636,21,,강남구201001,39550000,22016574,2320955,0,15212471
201012,77.1,강남구,92342.57935,68.3,95.608,24.7,20.00061231,24.72080673,385.8,312.1,-400,0,23,4,8,3636,21,,강남구201001,39550000,22016574,2320955,0,15212471
201101,77.4,강남구,91465.50358,69.6,98.989,21,17.05778237,21.04856871,426,345.2,-54,0,23,4,8,3657,21,,강남구201101,39550000,22016574,2320955,0,15212471
201102,77.8,강남구,90246.66668,70.7,101.73,21.8,17.86021765,21.77848452,430.2,352.8,-94,0,23,4,8,3657,21,,강남구201101,39550000,22016574,2320955,0,15212471
201103,77.9,강남구,98961.65097,71.2,104.86,23.9,18.93969213,23.94432808,476.3,376.7,-667,1,23,4,8,3657,21,,강남구201101,39550000,22016574,2320955,0,15212471
201104,77.9,강남구,82098.39495,71.2,78.533,26.9,22.34086967,26.94859705,286.3,237.4,-52,0,23,4,8,3657,14,,강남구201101,39550000,22016574,2320955,0,15212471
201105,77.8,강남구,89426.72937,71.1,83.295,27.6,22.7223892,27.63997918,313.4,257.7,138,0,23,4,8,3657,10,,강남구201101,39550000,22016574,2320955,0,15212471
201106,77.7,강남구,94486.9744,71.8,89.875,29.7,24.32631412,29.66191518,329.6,270.3,242,0,23,4,8,3657,10,,강남구201101,39550000,22016574,2320955,0,15212471
201107,77.5,강남구,88266.64008,73.4,96.807,25.5,20.64066824,25.52904768,389.8,315.1,206,0,23,4,8,3657,10,,강남구201101,39550000,22016574,2320955,0,15212471
201108,77.4,강남구,85565.7276,74.9,99.49,22.6,18.4832519,22.60720245,416.3,340.4,-61,0,23,4,8,3657,7,,강남구201101,39550000,22016574,2320955,0,15212471
201109,77.3,강남구,91458.439,76.5,103.12,23.2,18.98139245,23.23115297,430.6,351.9,-470,0,23,4,8,3657,7,,강남구201101,39550000,22016574,2320955,0,15212471
201110,77.1,강남구,87594.60318,76.9,73.943,25.7,19.94633887,25.71441873,474.8,368.3,-453,0,23,4,8,3657,7,,강남구201101,39550000,22016574,2320955,0,15212471
201111,77,강남구,92522.59052,76.8,79.392,22.5,18.68941096,22.52158404,290.8,241.3,-636,0,23,4,8,3657,7,,강남구201101,39550000,22016574,2320955,0,15212471
201112,76.8,강남구,88248.09176,76.5,85.949,31.3,25.79372717,31.34040254,307.5,253,-571,2,23,4,8,3657,7,,강남구201101,39550000,22016574,2320955,0,15212471
201201,76.5,강남구,89141.24066,75.9,90.777,28.5,23.38414217,28.51205154,345,282.9,-236,0,23,4,8,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201202,76.3,강남구,95032.77029,75.6,97.087,23.6,19.10023502,23.62868299,412.4,333.3,-404,0,23,4,8,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201203,75.9,강남구,88673.30363,75.3,100.26,21.9,17.8381953,21.90979965,415.2,338.1,-322,0,23,4,9,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201204,75.3,강남구,85035.22744,74.9,102.86,22.6,18.34789228,22.60976331,444.5,360.7,-301,0,23,4,9,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201205,75.3,강남구,91373.57176,74.7,75.775,26.7,20.71970886,26.6805833,482.6,374.8,-214,1,23,4,9,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201206,75.1,강남구,86722.5503,74.7,80.329,24.6,20.3549848,24.5931892,283.8,234.9,-51,0,23,4,9,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201207,74.5,강남구,93126.62434,74.6,86.418,28.2,23.18371139,28.20720322,324.9,267,-191,0,23,4,9,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201208,73.8,강남구,87716.95712,74.5,93.211,27.8,22.61209526,27.7879753,372.8,303.4,-163,2,23,4,11,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201209,73,강남구,90938.85771,74.9,97.691,25.1,20.51734515,25.12897484,394.2,321.9,-32,0,23,4,11,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201210,72.8,강남구,89284.46585,75.5,100.63,22.2,18.2047794,22.16185598,426.4,350.3,312,0,25,4,11,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201211,72.4,강남구,83575.63189,76.2,104.56,22.6,18.46592272,22.57090937,459.3,375.8,221,0,25,4,11,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201212,72,강남구,88234.16767,77,76.56,27.1,21.19631404,27.06593684,470.4,368.4,-316,0,25,4,11,3721,7,,강남구201201,39550000,22016574,2320955,0,15212471
201301,71.8,강남구,86565.45541,77.7,81.188,24.7,20.56018156,24.7100714,292.9,243.7,320,0,25,4,11,3591,7,,강남구201301,39550000,22016574,2320955,0,15212471
201302,71.6,강남구,90416.87377,78.6,87.901,28.2,23.2403824,28.2095838,343,282.6,-257,0,25,4,11,3591,7,,강남구201301,39550000,22016574,2320955,0,15212471
201303,71.7,강남구,85302.06359,79.2,94.292,27.4,22.21784839,27.42179199,366,296.6,-481,0,25,4,11,3591,0,,강남구201301,39550000,22016574,2320955,0,15212471
201304,71.7,강남구,84362.71743,79.2,98.538,22.9,18.79200973,22.88490571,409.3,336.1,-350,2,25,4,11,3591,0,,강남구201301,39550000,22016574,2320955,0,15212471
201305,71.8,강남구,82208.17428,79.2,100.76,20.9,16.95990964,20.8842268,451.7,366.8,-435,0,25,4,11,3591,0,,강남구201301,39550000,22016574,2320955,0,15212471
201306,71.6,강남구,85539.7616,79.6,104.77,23.3,18.85335926,23.2858404,453.7,367.4,-96,0,25,4,12,3591,12,,강남구201301,39550000,22016574,2320955,0,15212471
201307,71.1,강남구,89632.39583,80.2,77.987,22.6,18.73204868,22.62322124,271,224.4,5,0,25,4,12,3591,11,,강남구201301,39550000,22016574,2320955,0,15212471
201308,70.9,강남구,81482.53269,80.9,82.436,28.8,23.76731155,28.81220826,296.6,244.6,204,1,25,4,12,3591,8,,강남구201301,39550000,22016574,2320955,0,15212471
201309,71,강남구,88026.33851,81.6,88.974,27.7,22.71753419,27.73518516,347.8,284.9,-48,0,25,4,12,3591,8,,강남구201301,39550000,22016574,2320955,0,15212471
201310,71.1,강남구,90649.41503,82.5,95.744,26.7,21.8607785,26.68004938,362,296.6,91,0,25,4,12,3591,7,,강남구201301,39550000,22016574,2320955,0,15212471
201311,71,강남구,82898.64837,83.1,99.133,22.5,18.29693142,22.49104606,404.1,328.7,-111,0,25,4,12,3591,7,,강남구201301,39550000,22016574,2320955,0,15212471
201312,71.1,강남구,81371.23927,84,102.77,22,17.88222953,22.04642179,441.6,358.2,-91,0,25,4,12,3591,1,,강남구201301,39550000,22016574,2320955,0,15212471
201401,71.2,강남구,98891.07896,84.3,105.31,25.1,20.23729985,25.14387073,444.5,357.8,79,0,25,4,12,3560,1,,강남구201401,39550000,22016574,2320955,0,15212471
201402,71.4,강남구,93373.46685,84.7,78.221,23.9,19.74706928,23.91171875,271.7,224.4,276,0,25,4,12,3560,1,,강남구201401,39550000,22016574,2320955,0,15212471
201403,71.7,강남구,96211.91411,84.8,84.076,26.7,22.07834334,26.73618214,303.3,250.5,232,0,25,4,12,3560,1,,강남구201401,39550000,22016574,2320955,0,15212471
201404,71.7,강남구,91459.91626,84.9,89.965,27.6,22.46261809,27.61154566,347.2,282.5,542,0,25,4,12,3560,0,,강남구201401,39550000,22016574,2320955,0,15212471
201405,71.7,강남구,87395.4344,84.9,96.185,25.8,20.96641358,25.84392835,371.3,301.3,571,0,25,4,12,3560,43,,강남구201401,39550000,22016574,2320955,0,15212471
201406,71.6,강남구,92538.10016,85,99.47,21.4,17.30935061,21.35899309,426,345.2,77,0,25,4,13,3560,35,,강남구201401,39550000,22016574,2320955,0,15212471
201407,71.7,강남구,86627.46027,85.2,103.28,21.2,17.21100226,21.16856685,455.5,370.4,437,2,25,4,13,3560,50,,강남구201401,39550000,22016574,2320955,0,15212471
201408,71.9,강남구,88102.73039,85.4,74.728,26.1,20.67722521,26.10607924,453.1,358.8,"1,014",0,25,4,13,3560,36,,강남구201401,39550000,22016574,2320955,0,15212471
201409,72.5,강남구,93068.03127,86,79.626,26.2,21.69747864,26.21173638,281.6,233.1,701,0,25,4,13,3560,20,,강남구201401,39550000,22016574,2320955,0,15212471
201410,72.8,강남구,95780.1252,86.4,86.106,27.1,22.37408901,27.09284394,321.4,265.5,682,0,25,4,13,3560,18,,강남구201401,39550000,22016574,2320955,0,15212471
