yyyymm,buy_index,sgg,rent_index,cpi,pir,move_population,subway,department_store,apart_brand,marry,unsold
200701,81.4,강남구,60.8,97.069,23.2,169,22,4,3,3856,-
200702,81.2,강남구,61,100.36,22.4,389,22,4,3,3856,-
200703,81.1,강남구,61.1,103.57,23.4,-56,22,4,5,3856,-
200704,80.4,강남구,60.9,76.233,25.3,177,22,4,5,3856,-
200705,79.8,강남구,60.5,79.861,26.4,-98,22,4,5,3856,-
200706,79.7,강남구,60.3,87.355,28.9,116,22,4,5,3856,-
200707,79.8,강남구,60.2,93.842,25.7,181,22,4,5,3856,-
200708,79.8,강남구,60.2,97.429,23.5,463,22,4,5,3856,-
200709,79.7,강남구,60,100.71,22.4,8,22,4,0,3856,-
200710,79.6,강남구,59.7,104.15,23.5,17,22,4,5,3856,-
200711,79.7,강남구,59.6,77.362,27.5,109,22,4,5,3856,-
200712,79.6,강남구,59.6,81.656,25.9,-2,22,4,5,3856,-
200801,79.7,강남구,59.8,88.214,30.7,353,22,4,5,3641,19
200802,79.7,강남구,60,95.086,28.2,329,22,4,5,3641,19
200803,80,강남구,60.2,98.881,23.5,-33,22,4,5,3641,19
200804,80.3,강남구,60.4,101.72,22.9,-16,22,4,5,3641,19
200805,80.4,강남구,60.5,104.54,25.9,-34,22,4,5,3641,19
200806,80.1,강남구,60.6,78.065,22.3,34,22,4,6,3641,19
200807,79.8,강남구,60.6,82.593,25.7,-144,22,4,6,3641,19
200808,79.6,강남구,60.6,89.515,30.1,-21,22,4,6,3641,19
200809,79.3,강남구,60.5,95.59,26,-456,22,4,6,3641,19
200810,78.5,강남구,60.1,98.727,21.6,-511,22,4,6,3641,19
200811,76.8,강남구,59.5,103.07,23,-501,22,4,6,3641,19
200812,73.8,강남구,57.1,104.91,27.3,-309,22,4,8,3641,19
200901,72.8,강남구,55.7,78.846,26.9,245,22,4,8,3500,19
200902,73.4,강남구,55.7,85.013,29.6,732,22,4,8,3500,19
200903,73.4,강남구,56,91.227,30.7,36,22,4,8,3500,19
200904,74.1,강남구,56.3,96.907,25.9,11,22,4,8,3500,19
200905,74.3,강남구,56.8,99.82,21.9,299,22,4,8,3500,19
200906,75.1,강남구,57.6,103.78,23.8,264,22,4,8,3500,18
200907,76.3,강남구,58.3,75.775,27.1,232,23,4,8,3500,14
200908,77,강남구,58.9,79.704,26,75,23,4,8,3500,14
200909,78.4,강남구,59.7,86.028,26.7,255,23,4,8,3500,14
200910,78.6,강남구,60.2,92.94,28.4,33,23,4,8,3500,14
200911,78.4,강남구,61,97.114,23.8,-349,23,4,8,3500,14
200912,78.3,강남구,61.5,100.18,21.2,-252,23,4,8,3500,14
201001,78.5,강남구,62.6,104.31,23.9,201,23,4,8,3636,14
201002,78.8,강남구,63.5,76.887,27.3,330,23,4,8,3636,14
201003,78.8,강남구,63.8,80.251,23.5,-441,23,4,8,3636,14
201004,78.8,강남구,64.3,87.589,29.5,-361,23,4,8,3636,60
201005,78.3,강남구,64.6,94.382,26.2,-209,23,4,8,3636,45
201006,77.8,강남구,64.9,98.114,21.8,-139,23,4,8,3636,21
201007,77.6,강남구,65.1,100.92,21.4,-144,23,4,8,3636,21
201008,77.2,강남구,65.3,105.7,23.6,-147,23,4,8,3636,21
201009,77,강남구,65.8,78.065,24.1,-322,23,4,8,3636,21
201010,77,강남구,66.3,81.89,24.8,-184,23,4,8,3636,21
201011,76.9,강남구,67,88.135,27.4,-380,23,4,8,3636,21
201012,77.1,강남구,68.3,95.608,24.7,-400,23,4,8,3636,21
201101,77.4,강남구,69.6,98.989,21,-54,23,4,8,3657,21
201102,77.8,강남구,70.7,101.73,21.8,-94,23,4,8,3657,21
201103,77.9,강남구,71.2,104.86,23.9,-667,23,4,8,3657,21
201104,77.9,강남구,71.2,78.533,26.9,-52,23,4,8,3657,14
201105,77.8,강남구,71.1,83.295,27.6,138,23,4,8,3657,10
201106,77.7,강남구,71.8,89.875,29.7,242,23,4,8,3657,10
