yyyymm,price_index,sgg
200701,81.4,강남구
200702,81.2,강남구
200703,81.1,강남구
200704,80.4,강남구
200705,79.8,강남구
200706,79.7,강남구
200707,79.8,강남구
200708,79.8,강남구
200709,79.7,강남구
200710,79.6,강남구
200711,79.7,강남구
200712,79.6,강남구
200801,79.7,강남구
200802,79.7,강남구
200803,80,강남구
200804,80.3,강남구
200805,80.4,강남구
200806,80.1,강남구
200807,79.8,강남구
200808,79.6,강남구
200809,79.3,강남구
200810,78.5,강남구
200811,76.8,강남구
200812,73.8,강남구
200901,72.8,강남구
200902,73.4,강남구
200903,73.4,강남구
200904,74.1,강남구
200905,74.3,강남구
200906,75.1,강남구
200907,76.3,강남구
200908,77,강남구
200909,78.4,강남구
200910,78.6,강남구
200911,78.4,강남구
200912,78.3,강남구
201001,78.5,강남구
201002,78.8,강남구
201003,78.8,강남구
201004,78.8,강남구
201005,78.3,강남구
201006,77.8,강남구
201007,77.6,강남구
201008,77.2,강남구
201009,77,강남구
201010,77,강남구
201011,76.9,강남구
201012,77.1,강남구
201101,77.4,강남구
201102,77.8,강남구
201103,77.9,강남구
201104,77.9,강남구
201105,77.8,강남구
201106,77.7,강남구
201107,77.5,강남구
201108,77.4,강남구
201109,77.3,강남구
201110,77.1,강남구
201111,77,강남구
201112,76.8,강남구
201201,76.5,강남구
201202,76.3,강남구
201203,75.9,강남구
201204,75.3,강남구
201205,75.3,강남구
201206,75.1,강남구
201207,74.5,강남구
201208,73.8,강남구
201209,73,강남구
201210,72.8,강남구
201211,72.4,강남구
201212,72,강남구
201301,71.8,강남구
201302,71.6,강남구
201303,71.7,강남구
201304,71.7,강남구
201305,71.8,강남구
201306,71.6,강남구
201307,71.1,강남구
201308,70.9,강남구
201309,71,강남구
201310,71.1,강남구
201311,71,강남구
201312,71.1,강남구
201401,71.2,강남구
201402,71.4,강남구
201403,71.7,강남구
201404,71.7,강남구
201405,71.7,강남구
201406,71.6,강남구
201407,71.7,강남구
201408,71.9,강남구
201409,72.5,강남구
201410,72.8,강남구
201411,72.8,강남구
201412,72.7,강남구
201501,72.9,강남구
201502,73,강남구
201503,73.5,강남구
201504,73.9,강남구
201505,74.2,강남구
201506,74.9,강남구
201507,75.3,강남구
201508,76,강남구
201509,76.4,강남구
201510,76.9,강남구
201511,77.5,강남구
201512,77.7,강남구
201601,77.6,강남구
201602,77.6,강남구
201603,77.6,강남구
201604,77.8,강남구
201605,78.2,강남구
201606,78.8,강남구
201607,79.5,강남구
201608,80.1,강남구
201609,80.7,강남구
201610,81.5,강남구
201611,81.9,강남구
201612,81.8,강남구
201701,81.7,강남구
201702,81.7,강남구
201703,81.8,강남구
201704,82,강남구
201705,82.3,강남구
201706,83.2,강남구
201707,83.9,강남구
201708,84.7,강남구
201709,84.6,강남구
201710,85.1,강남구
201711,86,강남구
201712,87.1,강남구
201801,89.2,강남구
201802,91.1,강남구
201803,93.1,강남구
201804,94.3,강남구
201805,94.8,강남구
201806,95,강남구
201807,95.3,강남구
201808,96.5,강남구
201809,99.5,강남구
201810,100.2,강남구
201811,100.3,강남구
201812,100.2,강남구
201901,100,강남구
201902,99.5,강남구
201903,98.9,강남구
201904,98.5,강남구
201905,98.3,강남구
201906,98.2,강남구
201907,98.8,강남구
201908,99.3,강남구
200701,81.7,강동구
200702,81.8,강동구
200703,81.8,강동구
200704,81.1,강동구
200705,79.9,강동구
200706,79.9,강동구
200707,80,강동구
200708,79.9,강동구
200709,79.9,강동구
200710,79.8,강동구
200711,79.7,강동구
200712,79.4,강동구
200801,79.4,강동구
200802,79.3,강동구
200803,79.5,강동구
200804,79.7,강동구
200805,79.5,강동구
200806,78.6,강동구
200807,78.3,강동구
200808,78.1,강동구
200809,77.7,강동구
200810,76.6,강동구
200811,75.1,강동구
200812,72.4,강동구
200901,72.6,강동구
200902,73.2,강동구
200903,73.6,강동구
200904,75.2,강동구
200905,75.5,강동구
200906,75.9,강동구
200907,77.3,강동구
200908,78.3,강동구
200909,80,강동구
200910,80.1,강동구
200911,79.6,강동구
200912,79.6,강동구
201001,80.3,강동구
201002,80.9,강동구
201003,80.9,강동구
201004,80.6,강동구
201005,79.9,강동구
201006,79.5,강동구
201007,79.2,강동구
201008,78.7,강동구
201009,78.6,강동구
201010,78.5,강동구
201011,78.9,강동구
201012,79.2,강동구
201101,79.4,강동구
201102,79.8,강동구
201103,80.1,강동구
201104,80,강동구
201105,79.8,강동구
201106,79.4,강동구
201107,78.8,강동구
201108,78.8,강동구
201109,78.9,강동구
201110,78.8,강동구
201111,78.6,강동구
201112,78.2,강동구
201201,78.2,강동구
201202,78.2,강동구
201203,78.1,강동구
201204,77.7,강동구
201205,77.5,강동구
201206,77.3,강동구
201207,76.8,강동구
201208,76,강동구
201209,75.2,강동구
201210,75,강동구
201211,74.7,강동구
201212,74.4,강동구
201301,74,강동구
201302,74.1,강동구
201303,74.3,강동구
201304,74.4,강동구
201305,74.4,강동구
201306,74.2,강동구
201307,73.9,강동구
201308,73.8,강동구
201309,73.7,강동구
201310,73.8,강동구
201311,73.8,강동구
201312,73.8,강동구
201401,73.7,강동구
201402,73.8,강동구
201403,73.9,강동구
201404,74,강동구
201405,74,강동구
201406,73.9,강동구
201407,73.9,강동구
201408,74,강동구
201409,74.4,강동구
201410,74.7,강동구
201411,74.7,강동구
201412,74.6,강동구
201501,74.8,강동구
201502,75.2,강동구
201503,75.7,강동구
201504,76.3,강동구
201505,76.7,강동구
201506,77.1,강동구
201507,77.5,강동구
201508,78,강동구
201509,78.4,강동구
201510,78.7,강동구
201511,78.9,강동구
201512,79.1,강동구
201601,79.1,강동구
201602,79.2,강동구
201603,79.2,강동구
201604,79.2,강동구
201605,79.5,강동구
201606,79.9,강동구
201607,80.2,강동구
201608,80.6,강동구
201609,80.9,강동구
201610,81.5,강동구
201611,82.1,강동구
201612,82,강동구
201701,81.9,강동구
201702,81.9,강동구
201703,81.9,강동구
201704,81.9,강동구
201705,82.2,강동구
201706,83.5,강동구
201707,84.4,강동구
201708,85.4,강동구
201709,85.5,강동구
201710,86.1,강동구
201711,86.8,강동구
201712,87.3,강동구
201801,89,강동구
201802,90,강동구
201803,92,강동구
201804,92.8,강동구
201805,93,강동구
201806,93.5,강동구
201807,94,강동구
201808,94.9,강동구
201809,97.9,강동구
201810,99.7,강동구
201811,100,강동구
201812,100.1,강동구
201901,100,강동구
201902,99.8,강동구
201903,99.5,강동구
201904,99.2,강동구
201905,98.8,강동구
201906,98.6,강동구
201907,98.7,강동구
201908,99.1,강동구
200701,72.7,강북구
200702,73.6,강북구
200703,75,강북구
200704,75.5,강북구
200705,75.6,강북구
200706,75.9,강북구
200707,76.8,강북구
200708,77.3,강북구
200709,78.5,강북구
200710,79.1,강북구
200711,80.7,강북구
200712,82.1,강북구
200801,83,강북구
200802,84,강북구
