price_index,강남구_12,강남구_3,강남구_6,강동구_12,강동구_3,강동구_6,강북구_12,강북구_3,강북구_6,강서구_12,강서구_3,강서구_6,관악구_12,관악구_3,관악구_6,광진구_12,광진구_3,광진구_6,구로구_12,구로구_3,구로구_6,금천구_12,금천구_3,금천구_6,노원구_12,노원구_3,노원구_6,도봉구_12,도봉구_3,도봉구_6,동대문구_12,동대문구_3,동대문구_6,동작구_12,동작구_3,동작구_6,마포구_12,마포구_3,마포구_6,서대문구_12,서대문구_3,서대문구_6,서울전체_12,서울전체_3,서울전체_6,서초구_12,서초구_3,서초구_6,성동구_12,성동구_3,성동구_6,성북구_12,성북구_3,성북구_6,송파구_12,송파구_3,송파구_6,양천구_12,양천구_3,양천구_6,영등포구_12,영등포구_3,영등포구_6,용산구_12,용산구_3,용산구_6,은평구_12,은평구_3,은평구_6,종로구_12,종로구_3,종로구_6,중구_12,중구_3,중구_6,중랑구_12,중랑구_3,중랑구_6
-0.477131173,0.656387901,0.063116575,0.154958729,0.596480735,-0.060792909,0.032774006,-2.772308061,-1.41873562,-1.881235064,-0.122567764,0.538849182,0.601520454,-0.704597711,0.086401509,0.130672408,0.269586247,0.146063564,0.266861549,-0.894550847,0.040137372,0.025124194,-1.57977431,0.390030422,0.182148507,-1.648493733,0.737294011,0.881875728,-0.656510582,0.962463509,1.090201641,-1.324920141,-0.208283601,-0.175629215,0.018916522,0.108544937,0.186612223,-0.610309319,-0.337190108,-0.256688877,-1.142758474,-0.164470788,-0.132188844,-0.622634451,0.081095273,0.229902809,-0.113386813,-0.421819599,-0.235970627,-0.161811519,-0.125653583,-0.060571172,-1.170107145,0.02711447,0.074943206,0.852606296,0.076892682,0.348528922,0.644547847,0.094858007,0.393947149,-0.54220984,-0.261728863,-0.203192169,0.440843518,0.565358062,0.617583252,-0.259052346,0.837076536,0.767114098,-1.819871288,-0.628204945,-0.768981555,-0.871815438,-0.352308028,-0.243604181,-1.941417547,0.036590886,0.069520585
-0.477131173,0.618956412,0.076404274,0.154958729,0.618601875,-0.075594661,0.016503223,-2.564211543,-1.100365775,-1.776138133,-0.42483515,-0.284242644,-0.31244594,-1.443076165,-0.780192732,-0.993884869,0.445247498,-0.002956752,0.065308442,-1.526367853,-0.847109794,-0.965962797,-2.308820799,-1.707828051,-1.971063977,-2.547135282,-2.108360707,-2.339035211,-1.799572153,-0.867139647,-1.142340514,-2.374949004,-1.437169385,-1.669298236,-0.35234232,-0.220508612,-0.250778949,-0.759648428,-0.630398897,-0.657868574,-1.979381293,-1.262551614,-1.427639517,-0.940768842,-0.703020175,-0.795027031,0.087044422,-0.235436576,-0.173785426,-0.576628436,-0.34833082,-0.324538926,-1.876872685,-1.291843658,-1.404035491,1.205989169,0.581275734,0.7225491,1.080895518,0.335222187,0.426972658,-0.826105671,-0.631850487,-0.661766649,-0.3263338,0.023353646,-0.02072427,-0.943903376,-0.532219973,-0.618044634,-2.213053356,-1.85963441,-1.95145258,-1.737902784,-0.898572437,-1.071750844,-3.022987211,-2.591013266,-2.856995139
-0.434647584,0.600240667,0.063116575,0.140582174,0.618601875,-0.119999916,0.016503223,-2.240505847,-0.821792161,-1.523905499,-0.378332476,-0.284242644,-0.294166612,-1.27265806,-0.726030592,-0.913559349,0.470341963,0.013601061,0.065308442,-1.416486635,-0.829712791,-0.92709664,-2.2602177,-1.627909633,-1.949954051,-2.475243958,-1.959460169,-2.27122656,-1.65960543,-0.777453217,-0.967619823,-2.2772719,-1.296725295,-1.63099903,-0.32759173,-0.190594653,-0.250778949,-0.73831427,-0.630398897,-0.642438586,-1.835960238,-1.144296756,-1.409133078,-0.891825089,-0.670348698,-0.75906458,0.067001299,-0.264110887,-0.173785426,-0.415310746,-0.303795373,-0.324538926,-1.744354146,-1.179249671,-1.369235992,1.186356787,0.523631957,0.7225491,1.080895518,0.320199425,0.443485413,-0.716914967,-0.590725862,-0.646480833,-0.246970629,0.058321673,0.017961034,-0.854574981,-0.405823372,-0.618044634,-2.152563807,-1.85963441,-1.925175447,-1.51336162,-0.898572437,-1.046655491,-2.893198851,-2.392286902,-2.768312845
-0.392163994,0.469230455,0.076404274,0.126205618,0.463753896,-0.119999916,0.00023244,-2.124896671,-0.642709124,-1.397789181,-0.355081138,-0.284242644,-0.239328629,-1.215852025,-0.707976545,-0.833233829,0.495436427,-0.002956752,0.083631452,-1.361546025,-0.829712791,-0.907663562,-2.163011501,-1.607930028,-1.844404419,-2.421325465,-1.84364864,-2.203417908,-1.612949855,-0.759515932,-0.928793003,-2.2772719,-1.261614273,-1.554400619,-0.228589373,-0.205551633,-0.183488,-0.674311794,-0.630398897,-0.627008597,-1.78815322,-1.093616102,-1.353613764,-0.867353213,-0.654012959,-0.72310213,0.046958175,-0.264110887,-0.173785426,-0.346174594,-0.318640522,-0.308040941,-1.722267723,-1.130995105,-1.317036744,1.205989169,0.494810068,0.706964926,1.059078135,0.290153903,0.459998168,-0.673238685,-0.577017654,-0.646480833,-0.220516239,0.0932897,0.075988991,-0.824798849,-0.405823372,-0.548786698,-2.122319033,-1.785748642,-1.898898313,-1.481284311,-0.87581142,-0.946274077,-2.849936065,-2.348125487,-2.590948255
-0.378002797,0.356935987,0.076404274,0.140582174,0.198300218,-0.134801668,-0.016038343,-2.101774835,-0.443727971,-1.061479002,-0.285327126,-0.233849267,-0.239328629,-1.215852025,-0.599652265,-0.772989689,0.445247498,-0.002956752,0.065308442,-1.224194502,-0.742727775,-0.849364327,-2.138709952,-1.368174774,-1.696634935,-2.349434141,-1.314224506,-2.050848443,-1.472983132,-0.562205787,-0.851139363,-2.106336969,-1.121170183,-1.458652605,-0.203838783,-0.130766735,-0.166665262,-0.652977636,-0.574549604,-0.611578609,-1.740346202,-0.924680591,-1.279588011,-0.867353213,-0.523327051,-0.687139679,0.026915052,-0.249773732,-0.189331726,-0.253993057,-0.318640522,-0.308040941,-1.678094877,-0.889722277,-1.299636995,1.127459641,0.465988179,0.675796577,0.862721682,0.275131142,0.426972658,-0.651400544,-0.549601238,-0.615909201,-0.114698678,0.180709767,0.095331643,-0.67591819,-0.279426771,-0.50261474,-2.122319033,-1.564091339,-1.872621179,-1.417129693,-0.64820125,-0.89608337,-2.763410492,-2.215641244,-2.480095387
-0.420486387,0.338220242,0.116267374,0.126205618,0.198300218,-0.105198164,-0.064850692,-2.032409329,-0.344237394,-0.767207596,-0.308578463,-0.099466928,-0.239328629,-1.215852025,-0.527436078,-0.712745549,0.344869641,0.046716687,0.083631452,-1.224194502,-0.603551749,-0.829931249,-2.090106852,-0.988562289,-1.61219523,-2.33146131,-0.602810827,-1.898278977,-1.426327558,-0.2931465,-0.754072313,-2.033079142,-0.857837515,-1.305455782,-0.179088194,-0.100852776,-0.133019788,-0.652977636,-0.546624958,-0.611578609,-1.716442692,-0.806425732,-1.150042944,-0.891825089,-0.343633928,-0.651177229,-0.013171195,-0.249773732,-0.220424326,-0.253993057,-0.229569627,-0.258546988,-1.633922031,-0.696704015,-1.177838749,1.068562496,0.451577235,0.613459881,0.753634764,0.305176664,0.410459904,-0.716914967,-0.508476613,-0.570051753,-0.114698678,0.303097861,0.134016947,-0.735470454,-0.17409627,-0.364098867,-2.122319033,-1.391691214,-1.872621179,-1.320897765,-0.511635147,-0.89608337,-2.720147705,-1.70778498,-2.280560224
-0.462969977,0.356935987,0.156130474,0.140582174,0.220421358,-0.075594661,-0.064850692,-1.824312811,0.31240041,-0.57803312,-0.262075789,0.085308788,-0.239328629,-1.187449008,-0.238571331,-0.692664169,0.294680712,0.112947938,0.065308442,-1.196724198,-0.359993703,-0.829931249,-2.065805303,-0.708847826,-1.591085303,-2.295515648,0.224414382,-1.779613837,-1.333016409,0.460219505,-0.734658903,-1.98424059,-0.559393825,-1.267156576,-0.179088194,-0.011110899,-0.149842525,-0.674311794,-0.462851018,-0.611578609,-1.716442692,-0.620596669,-1.094523629,-0.891825089,-0.082262112,-0.633196004,-0.033214319,-0.235436576,-0.220424326,-0.230947672,-0.170189031,-0.275044972,-1.611835607,-0.455431186,-1.125639501,1.00966535,0.465988179,0.582291533,0.709999997,0.290153903,0.377434394,-0.738753108,-0.412519154,-0.554765937,0.070482054,0.373033914,0.172702252,-0.67591819,0.078696931,-0.364098867,-2.031584709,-1.17003391,-1.793789777,-1.320897765,-0.397830062,-0.870988017,-2.655253525,-0.890798815,-2.236219077
-0.49129237,0.356935987,0.169418174,0.140582174,0.198300218,-0.105198164,-0.081121475,-1.708703634,0.610872139,-0.367839258,-0.215573114,0.270084504,-0.184490645,-1.130642973,-0.112193004,-0.57217589,0.269586247,0.162621377,0.065308442,-1.086842979,-0.203420674,-0.732765858,-2.017202203,-0.389174153,-1.337766188,-2.241597156,0.522215457,-1.237144627,-1.146394112,0.711341507,-0.521111392,-1.837724934,-0.436505246,-1.113959754,-0.129587015,0.01880306,-0.065728838,-0.674311794,-0.407001724,-0.549858656,-1.573021638,-0.451661158,-0.909459248,-0.842881337,0.032088058,-0.489346202,-0.053257443,-0.235436576,-0.204878026,-0.230947672,-0.140498733,-0.275044972,-1.523489915,-0.310667489,-0.86464326,1.029297732,0.393933458,0.551123185,0.709999997,0.290153903,0.360921639,-0.695076826,-0.357686321,-0.524194305,0.176299615,0.408001941,0.269415513,-0.586589795,0.289357933,-0.225582994,-2.001339935,-1.145405321,-1.557295572,-1.128433911,-0.306785994,-0.620034483,-2.547096559,-0.427103964,-2.103195635
-0.53377596,0.338220242,0.129555074,0.18371184,0.198300218,-0.23841393,-0.048579909,-1.431241609,0.829751407,-0.262742327,-0.192321776,0.421264636,-0.038256022,-1.017030903,-0.003868724,-0.49185037,0.269586247,0.17917919,0.120277471,-1.03190237,-0.133832661,-0.577301232,-1.992900654,-0.089480086,-0.936677588,-2.169705832,0.671115994,-0.508201624,-0.936444028,0.872777079,-0.229910242,-1.788886383,-0.366283202,-0.826715711,-0.129587015,0.078630978,-0.032083363,-0.652977636,-0.351152431,-0.518998679,-1.549118129,-0.299619197,-0.77991418,-0.793937584,0.097431012,-0.291552724,-0.053257443,-0.249773732,-0.204878026,-0.230947672,-0.140498733,-0.176057064,-1.479317069,-0.133734082,-0.655846268,1.029297732,0.321878736,0.535539011,0.731817381,0.305176664,0.393947149,-0.673238685,-0.28914528,-0.478336857,0.229208396,0.460453981,0.404814078,-0.586589795,0.500018934,-0.110153099,-1.97109516,-1.071519553,-1.373355634,-1.096356602,-0.306785994,-0.469462362,-2.460570986,-0.162135478,-1.59327244
-0.647065532,0.319504498,0.089691974,0.226841506,0.176179078,-0.282819185,-0.016038343,-1.292510597,0.929241984,0.430897417,-0.122567764,0.488455805,0.162816585,-0.903418833,0.032239369,-0.170548291,0.294680712,0.17917919,0.19356951,-1.004432066,-0.064244648,-0.305238136,-1.871392905,0.07035675,-0.641138619,-2.097814508,0.753838515,0.339406517,-0.889788453,0.926588937,0.58545298,-1.691209279,-0.260950134,-0.501172463,-0.030584657,0.093587958,0.068853061,-0.631643477,-0.309265461,-0.426418749,-1.477407602,-0.215151441,-0.57634336,-0.744993832,0.130102489,-0.00385312,-0.053257443,-0.278448043,-0.189331726,-0.207902288,-0.125653583,-0.110065126,-1.413057799,-0.021140095,-0.394850027,1.00966535,0.278645903,0.551123185,0.753634764,0.305176664,0.377434394,-0.673238685,-0.261728863,-0.371336145,0.308571566,0.495422008,0.482184687,-0.4972614,0.626415535,0.166878647,-1.940850386,-0.82523366,-1.136861429,-0.968047365,-0.306785994,-0.343985595,-2.28751984,-0.051731942,-0.772961215
-0.887805874,0.338220242,0.063116575,0.241218062,0.154057938,-0.312422688,-0.048579909,-0.922561231,0.969038215,0.74618821,-0.122567764,0.488455805,0.363889192,-0.818209781,0.050293416,-0.029978631,0.269586247,0.17917919,0.248538539,-0.922021152,-0.012053638,-0.130340432,-1.701282058,0.130295564,-0.303379798,-1.936059029,0.753838515,0.644545448,-0.796477305,0.944526223,0.857240721,-1.5691129,-0.260950134,-0.367125243,-0.005834068,0.093587958,0.102498536,-0.610309319,-0.295303138,-0.364698796,-1.381793565,-0.164470788,-0.391278979,-0.696050079,0.130102489,0.122015457,-0.073300566,-0.292785199,-0.189331726,-0.207902288,-0.125653583,-0.077069157,-1.390971376,0.011029615,-0.238252283,0.970400587,0.23541307,0.473202314,0.709999997,0.245085619,0.377434394,-0.629562404,-0.261728863,-0.310192881,0.335025957,0.512906022,0.520869991,-0.437709136,0.668547735,0.397738436,-1.910605611,-0.702090713,-1.110584295,-0.903892747,-0.306785994,-0.243604181,-2.179362873,-0.007570528,-0.307379168
-1.312641771,0.319504498,0.023253475,0.198088395,0.087694519,-0.371629695,-0.195016955,-0.598855536,0.969038215,0.977401458,-0.122567764,0.538849182,0.528403143,-0.733000729,0.068347462,0.090509648,0.294680712,0.17917919,0.266861549,-0.894550847,0.022740369,-0.052608119,-1.604075859,0.250173191,0.013269097,-1.77430355,0.753838515,0.797114914,-0.679838369,0.980400794,1.031961411,-1.373758692,-0.208283601,-0.290526832,0.043667111,0.108544937,0.169789485,-0.610309319,-0.267378491,-0.302978842,-1.214469001,-0.164470788,-0.224721035,-0.647106327,0.130102489,0.193940358,-0.113386813,-0.32145951,-0.204878026,-0.138766135,-0.125653583,-0.077069157,-1.236366414,0.043199325,-0.046855039,0.89187106,0.192180237,0.395281444,0.688182614,0.200017335,0.393947149,-0.564047981,-0.261728863,-0.233763801,0.387934737,0.547874048,0.578897948,-0.259052346,0.794944336,0.628598225,-1.910605611,-0.652833535,-1.031752894,-0.903892747,-0.306785994,-0.243604181,-1.984680334,0.036590886,-0.041332284
-1.454253737,0.338220242,-0.083048124,0.154958729,0.087694519,-0.534448964,-0.243829304,-0.390759018,0.969038215,1.082498389,-0.052813752,0.471658013,0.601520454,-0.534179607,0.086401509,0.150753788,0.269586247,-0.38378645,-0.539350879,-0.784669629,-0.116435657,-0.169206589,-1.409663462,0.390030422,0.097708802,-1.396874099,0.588393473,0.373310843,-0.516543859,0.78309065,0.54662616,-1.251662313,-0.120506045,-0.252227626,0.068417701,-0.175637674,-0.318069899,-0.567641002,-0.127755258,-0.364698796,-1.094951456,-0.181364339,-0.354266102,-0.524746946,0.097431012,-0.093759246,-0.09334369,-0.364470976,-0.73345223,-0.184856904,-0.244414776,-0.258546988,-0.971329337,-0.117649227,-0.238252283,0.832973914,0.033659849,-0.259253867,0.622730463,0.365267709,0.162768582,-0.54220984,0.012435303,-0.142048904,0.493752298,0.268129834,0.153359599,-0.139947819,0.647481635,0.628598225,-1.668647415,-0.037118802,-0.40110168,-0.615196964,-0.124697858,-0.268699534,-1.876523367,-0.095893357,-0.130014578
